context_3,context_2,context_1,response
"Можно получить оценку сверху на rk(A+E) либо через частный случай неравенства фробениуса rk(E-A) + rk(A+E) - n <= rk((E-A)(A+E)) = 0, либо через то, что сумма геометрических кратностей собственных значений -1 и 1 (следует из того, что A^2 = E) не превышает размерности пространства n. Получим rk(E-A) <= 2. Оценку снизу можно сделать, используя неравенство rk(A+B) >= |rk(A)-rk(B)|. rk(E-A) >= |rk(A+E) - rk(2*A)| = 2. То есть rk(E-A) = 2",спасибо,А на какую тему семинар был?,"Собственные числа, линейные операторы"
,,,"Ну это то, что первым в голову пришло
Вообще отсюда вроде даже как следует, что матрицы, у которых A^2 = E диагонализируемы
придумал, как можно ещё вывести диагонализируемость А
Рассмотрим 1/2*(А+Е). Эта матрица идемпотентна (или же является матрицей проектора). Такие матрицы, как известно, диагонализируемы. Это значит, что dimKer(1/2*(A+E) - 0*E) + dimKer(1/2*(A+E) - 1*E)) = n => dimKer(A+E) + dimKer(A-E) = n. То есть сумма геометрических кратностей оператора А равна размерности пространства, т.е. А диагонализируем и, как следствие, rk(A-E) + rk(A+E) = n"
,,,"Диагонализуемость можно получить так. Если матрица A зануляется многочленом f, то максимальный размер клеток оценивается сверку кратностью корня f. Это следует из того, что у минимального многочлена смысл кратности — максимальный размер клетки."
,,"Диагонализуемость можно получить так. Если матрица A зануляется многочленом f, то максимальный размер клеток оценивается сверку кратностью корня f. Это следует из того, что у минимального многочлена смысл кратности — максимальный размер клетки.","А если какое-то сз входит в минимальный многочлен с кратностью 2, это означает, что в жнф точно есть клетка 2х2 с таким сз?"
,"Диагонализуемость можно получить так. Если матрица A зануляется многочленом f, то максимальный размер клеток оценивается сверку кратностью корня f. Это следует из того, что у минимального многочлена смысл кратности — максимальный размер клетки.","А если какое-то сз входит в минимальный многочлен с кратностью 2, это означает, что в жнф точно есть клетка 2х2 с таким сз?","да, точно есть 2x2; может быть и 1х1, но клеток порядка больше 2 точно нет"
,,,"В данном случае зануляется все многочленом x^2 - 1 = (x - 1) (x + 1), значит он диагонализуем и на диагонали могут быть 1 и -1."
,,"В данном случае зануляется все многочленом x^2 - 1 = (x - 1) (x + 1), значит он диагонализуем и на диагонали могут быть 1 и -1.",Красиво
,,,А сама задача была на неравенства про ранги или про диагонализируемость?
,,А сама задача была на неравенства про ранги или про диагонализируемость?,"Эту задачу я в шадовских нашел. Я не знаю, какая была изначально идея. Но у меня первая мысль была решать через диагонализуемость. Я в целом так привык делать. Потому что для меня матрица — это оператор, а значит нужно менять базис до удобного, а это сопряжение."
,,,"На этом строится проверка диагонализации. Найти хар многочлен f. Избавить его от кратных корней h = f / (f, f'), потом проверить h(A) = 0 или нет."
,,"На этом строится проверка диагонализации. Найти хар многочлен f. Избавить его от кратных корней h = f / (f, f'), потом проверить h(A) = 0 или нет.","Буду знать, спасибо большое"
,,,"А в шаде же можно сразу воспользоваться диагонализируемостью или все же пояснять надо, интересно"
,,"А в шаде же можно сразу воспользоваться диагонализируемостью или все же пояснять надо, интересно","Ну там главное сослаться на факт, который ты используешь. Разные люди знают разные трюки (и я в свой курс много добавил). У меня один раз история была, кажется Руслан (из этого чата) поступал и воспользовался некоторым фактом (вроде про связь хар многочленов AB и BA) без доказательства. Ему задачу не зачли. Он подал апелляцию и сказал, что этот факт ему рассказывали на курсах моих. Потом меня Стас Федотов просто лично спросил, знаю ли я такого чувака и действительно ли он этот факт знал как известный. Ну я подтвердил. Задачу зачли."
,"А в шаде же можно сразу воспользоваться диагонализируемостью или все же пояснять надо, интересно","Ну там главное сослаться на факт, который ты используешь. Разные люди знают разные трюки (и я в свой курс много добавил). У меня один раз история была, кажется Руслан (из этого чата) поступал и воспользовался некоторым фактом (вроде про связь хар многочленов AB и BA) без доказательства. Ему задачу не зачли. Он подал апелляцию и сказал, что этот факт ему рассказывали на курсах моих. Потом меня Стас Федотов просто лично спросил, знаю ли я такого чувака и действительно ли он этот факт знал как известный. Ну я подтвердил. Задачу зачли.",Фига себе блат))
"А в шаде же можно сразу воспользоваться диагонализируемостью или все же пояснять надо, интересно","Ну там главное сослаться на факт, который ты используешь. Разные люди знают разные трюки (и я в свой курс много добавил). У меня один раз история была, кажется Руслан (из этого чата) поступал и воспользовался некоторым фактом (вроде про связь хар многочленов AB и BA) без доказательства. Ему задачу не зачли. Он подал апелляцию и сказал, что этот факт ему рассказывали на курсах моих. Потом меня Стас Федотов просто лично спросил, знаю ли я такого чувака и действительно ли он этот факт знал как известный. Ну я подтвердил. Задачу зачли.",Фига себе блат)),Ну это не блат. Это вопрос установки фактов.
,,,"Но при этом кроме нее могут быть и клетки 1х1 с этим сз, или только клетки размера 2 и выше?"
,,"Но при этом кроме нее могут быть и клетки 1х1 с этим сз, или только клетки размера 2 и выше?",кратность x как корня мин многочлена - это макс порядок клетки с собственным значением х
,"Но при этом кроме нее могут быть и клетки 1х1 с этим сз, или только клетки размера 2 и выше?",кратность x как корня мин многочлена - это макс порядок клетки с собственным значением х,Спасибо)
"Но при этом кроме нее могут быть и клетки 1х1 с этим сз, или только клетки размера 2 и выше?",кратность x как корня мин многочлена - это макс порядок клетки с собственным значением х,Спасибо),"Есть шансы, что задачу с отбора в ШАДа проверят или хотя бы посмотрят на апелляции, если изначально ответ не верный записал в системе?"
кратность x как корня мин многочлена - это макс порядок клетки с собственным значением х,Спасибо),"Есть шансы, что задачу с отбора в ШАДа проверят или хотя бы посмотрят на апелляции, если изначально ответ не верный записал в системе?","Вроде неверные ответы не аппелируются
Насколько я слышал"
,,,Спроси в чате на всякий
,,Спроси в чате на всякий,"Спасибо, а в каком чате?"
,,,"В прошлые годы, когда сделали онлайн мероприятия была идея, что каждый может проверить свои вычисления в wolfram alpha и потому банили неверные ответы без права апелляции. Но лучше спросить."
,,"В прошлые годы, когда сделали онлайн мероприятия была идея, что каждый может проверить свои вычисления в wolfram alpha и потому банили неверные ответы без права апелляции. Но лучше спросить.","Спасибо)
Я, к сожалению, просто ответ забыл изменить на ответ из нового решения"
,"В прошлые годы, когда сделали онлайн мероприятия была идея, что каждый может проверить свои вычисления в wolfram alpha и потому банили неверные ответы без права апелляции. Но лучше спросить.","Спасибо)
Я, к сожалению, просто ответ забыл изменить на ответ из нового решения","Ну вот это был главный недостаток такого решения, что любые косяки с ответом по глупости не рассматривались. И никому не апеллировали. Это было жесткое решение. Я тогда со Стасом обсуждал это решение, они ни для кого исключения не сделали. Что в целом правильно."
,,,А Стас щас уже не рулит шадом?
,,А Стас щас уже не рулит шадом?,"Он уже год как в Израиле международный ШАД делает. А в ШАДе сейчас вроде как Влад Пимкин рулит. Но он в целом достойная замена Стасу по тому, что я вижу."
,,,"Ну новый куратор сказал, мол 6 часов более чем достаточно для того, чтобы перепроверить все задания"
,,,А не Алексей Толстиков?
,,А не Алексей Толстиков?,"Вот тут я не знаю точно, кто там на самом верху. Но я сейчас все вопросы через Влада решаю, за которые раньше Стас отвечал. Он там на самом деле несколько человек вместо себя оставил. Так что может быть обязанности расползлись на коллектив."
,,,Он вроде раньше в Минске был куратором
,,,Понял. А основная концепция и идея шада останется прежней?
,,Понял. А основная концепция и идея шада останется прежней?,"Да. Конечно. Единственное изменение, которое я вижу и которое исходит от Влада — выкинуть ненужные теоретические вещи и вместо них поставить что-то более нужное. Тем не менее, альтернативный трек и математику они не стали менять, видимо не рассматривает как ненужное =)
По вступительным, Влад вроде уже прошелся и хочет их сделать более адекватными. Не знаю, на сколько это получилось, я не слежу за этим."
,,,Или вдруг у них есть какие-то планы по перестройке программы или вступительных
,,Или вдруг у них есть какие-то планы по перестройке программы или вступительных,"ну они уже поменяли вступительные ведь, сделали один экзамен например"
,,,Так-то да
,,,Какие теоретические вещи хотят выкинуть?
,,Какие теоретические вещи хотят выкинуть?,"Тут я точно не скажу. Я знаю, что Влад пересмотрел все курсы, что читаются в ШАДе и составил граф с тем, что для чего нужно, чтобы лучше синхронизировать курсы. И озвучивал он мысль, что после такого исследования надо понять, что реально нужно, а что можно выкинуть и заменить, на что-то более полезное.
Вот не помню, оставили ли они в итоге функан от Шейпака или нет. Может он под нож пошел. Зато мы его зовем на ФКН."
,,,Например
,,Например,Он там заморочился
,Например,Он там заморочился,"Ну да, функан в списке курсов на выбор каким-то лишним смотрелся"
,,,Как будто щас мало где может пригодиться в cs
,,Как будто щас мало где может пригодиться в cs,"На самом деле я еще в 2017 году на ФКН общался с одним студентом крутым и потом пока он не выпустился продолжал с ним работать. Так вот, мы познакомились так. Он читал какую-то статью и ко всем приставал, чтобы ему помогли разобраться. Он вышел на меня. Оказалось, что там для понимания нужен функан в чистом виде. И алгоритм был построен на очень интересной идее о том, что компактные пространства описываются своими C^*-алгебрами. И вот там была идея, что для дискретезации проблемы C^*-алгебру нужную в алгоритме надо приблизить алгеброй полиномов, а у них обрезать степени и получить конечномерное пространство. В итоге какой-то жуткий алгоритм сводили к задаче линейной алгебры. Так вот, этот парень в итоге с помощью ""челночной дипломатии"" организовал себе курс по функану на ФКН. Там вроде на выпуске у него даже работы в этой области были с использованием этих идей. Сейчас в Штатах аспирантом является. Так что никогда не знаешь, что тебе пригодится. В целом на мой взгляд функан — это одна из самых прикладных областей. Весь вопрос в том, чтобы его правильно рассказывали, именно нужные его части. Потому что это по сути бесконечно мерный линал или основа для бесконечно мерного дифгема."
,,,"Спасибо за развернутый ответ)
Нормально так))"
,,,У кого-нибудь получалось поднять баллы на апелляции в  Шаде?
,,У кого-нибудь получалось поднять баллы на апелляции в  Шаде?,Да
,,,"А можешь пожалуйста рассказать как проходило
И почему сначала не поставили а потом подняли"
,,,"Писал письмо, объяснял по-человечески, что-то подняли что-то нет. Не подняли там, где была ошибка в формате записи ответа при верном решении."
,,"Писал письмо, объяснял по-человечески, что-то подняли что-то нет. Не подняли там, где была ошибка в формате записи ответа при верном решении.",снижали ли за апелляцию?
,"Писал письмо, объяснял по-человечески, что-то подняли что-то нет. Не подняли там, где была ошибка в формате записи ответа при верном решении.",снижали ли за апелляцию?,Мне нет
,,,"Пример такой. Разбейте вершины на три множества по 33, 33 и 34 вершины, соответственно. Потом соедините рёбрами все пары вершин из разных множеств (получится три полных двудольных графа склеенных вместе). Рёбер будет 33*33 + 33* 34 + 33*34 = 33*100 = 3300."
,,"Пример такой. Разбейте вершины на три множества по 33, 33 и 34 вершины, соответственно. Потом соедините рёбрами все пары вершин из разных множеств (получится три полных двудольных графа склеенных вместе). Рёбер будет 33*33 + 33* 34 + 33*34 = 33*100 = 3300.",А что если мы возьмём по вершине из каждого множества. Тогда будет треугольник. Добавление любой вершины добавляет ещё два ребра. В итоге будет четыре вершины и пять ребер. Многовато.
,"Пример такой. Разбейте вершины на три множества по 33, 33 и 34 вершины, соответственно. Потом соедините рёбрами все пары вершин из разных множеств (получится три полных двудольных графа склеенных вместе). Рёбер будет 33*33 + 33* 34 + 33*34 = 33*100 = 3300.",А что если мы возьмём по вершине из каждого множества. Тогда будет треугольник. Добавление любой вершины добавляет ещё два ребра. В итоге будет четыре вершины и пять ребер. Многовато.,"А, точно! Спасибо. Косяк"
"Пример такой. Разбейте вершины на три множества по 33, 33 и 34 вершины, соответственно. Потом соедините рёбрами все пары вершин из разных множеств (получится три полных двудольных графа склеенных вместе). Рёбер будет 33*33 + 33* 34 + 33*34 = 33*100 = 3300.",А что если мы возьмём по вершине из каждого множества. Тогда будет треугольник. Добавление любой вершины добавляет ещё два ребра. В итоге будет четыре вершины и пять ребер. Многовато.,"А, точно! Спасибо. Косяк","Хорошая задачка!
У меня получилось, что для 100 вершин ответ не 3300, а 2500. Вот решение."
А что если мы возьмём по вершине из каждого множества. Тогда будет треугольник. Добавление любой вершины добавляет ещё два ребра. В итоге будет четыре вершины и пять ребер. Многовато.,"А, точно! Спасибо. Косяк","Хорошая задачка!
У меня получилось, что для 100 вершин ответ не 3300, а 2500. Вот решение.",
"А, точно! Спасибо. Косяк","Хорошая задачка!
У меня получилось, что для 100 вершин ответ не 3300, а 2500. Вот решение.",,Хорош.
,,,"Господа, такой вопрос: вырожденная матрица может быть диагонализируемой?"
,,"Господа, такой вопрос: вырожденная матрица может быть диагонализируемой?","да, например нулевая или любая диагональная матрица с наличием нуля на диагонали."
,,,"При этом тут диагонализируемость в любом смысле, и как оператора и как формы."
,,,"Спасибо большое! chatGPT выдает сначала да, а потом нет, а потом опять да..."
,,"Спасибо большое! chatGPT выдает сначала да, а потом нет, а потом опять да...","Не слушай ты эту мусорку. У нее очень много галюцинаций. Плюс она ж обучалась на знаниях из интернета, а там тоже та еще помойка."
,,,"Можно
Там по правде ещё поле характеристикой не равное 2 должно быть"
,,"Можно
Там по правде ещё поле характеристикой не равное 2 должно быть","Да, можно, но это сложнее заметить
Проще всего, если знать критерий диагонализируемости через минимальный многочлен, про который Дима сказал
А дальше очевидно"
,,,"Привет, подскажет кто-нибудь идею решения?
Семинар 7, задача 10"
,,"Привет, подскажет кто-нибудь идею решения?
Семинар 7, задача 10","Надо рассмотреть индикаторы этих множеств и составить из них вектор v. Потом взять vv^t, получится матрица с параметром. Теперь надо сложить по всем значениям параметра. Это и будет построена матрица. Потом надо увидеть что каждое слагаемое неотрицательно и понять что сумма неотрицательных неотрицательно."
,"Привет, подскажет кто-нибудь идею решения?
Семинар 7, задача 10","Надо рассмотреть индикаторы этих множеств и составить из них вектор v. Потом взять vv^t, получится матрица с параметром. Теперь надо сложить по всем значениям параметра. Это и будет построена матрица. Потом надо увидеть что каждое слагаемое неотрицательно и понять что сумма неотрицательных неотрицательно.",спасибо большое
,,,подскажите плез(Тейлор не помог)
,,подскажите плез(Тейлор не помог),Попробуй через вероятность(распределение Пуассона)
,,,И в конце цпт навесить
,,,А зачем цпт? Тут же просто разложение экспоненты
,,А зачем цпт? Тут же просто разложение экспоненты,там количество слагаемых и аргумент — одно и то же число.
,А зачем цпт? Тут же просто разложение экспоненты,там количество слагаемых и аргумент — одно и то же число.,"Спасибо, а как тогда лучше сделать?"
А зачем цпт? Тут же просто разложение экспоненты,там количество слагаемых и аргумент — одно и то же число.,"Спасибо, а как тогда лучше сделать?","Я аккуратно не думал, но наверное надо как-то так. Так как слагаемые одного знака, я думаю можно оценками сделать. Сделать сумму до n, а подставить m. А потом поиграться с пределами разными. Оценить сверху и снизу."
там количество слагаемых и аргумент — одно и то же число.,"Спасибо, а как тогда лучше сделать?","Я аккуратно не думал, но наверное надо как-то так. Так как слагаемые одного знака, я думаю можно оценками сделать. Сделать сумму до n, а подставить m. А потом поиграться с пределами разными. Оценить сверху и снизу.",То есть попытаться использовать экспоненту но не в лоб?
,,,как-то так
,,как-то так,Спасибо
,как-то так,Спасибо,"Уважаемые товарищи! Прошу помочь. Вроде простая задача 41 у Виленкина... но у меня получается 24, а в ответе 25 ...
Что-то я упускаю?"
,,,"вроде простая задача на формулу включений исключений, у меня тоже 24"
,,"вроде простая задача на формулу включений исключений, у меня тоже 24","Уже легче, что не у одного меня ответ не сходится...))) Может ошибка все же в ответе..."
,,,Кажется в Виленкине иногда бывают ошибки в ответах
,,Кажется в Виленкине иногда бывают ошибки в ответах,"А всегда же верно что 
А - квадратная матрица, p(x) - многочлен, x1...xk корни хар многочлена А
то корни хар многочлена p(A) - p(x1)...p(xk)?
или только если корни действительные"
,Кажется в Виленкине иногда бывают ошибки в ответах,"А всегда же верно что 
А - квадратная матрица, p(x) - многочлен, x1...xk корни хар многочлена А
то корни хар многочлена p(A) - p(x1)...p(xk)?
или только если корни действительные","всегда
если x - собственное значение для A, то p(x) - собственное значение для p(A), это верно для любого комплексного x (в том числе для действительного)"
Кажется в Виленкине иногда бывают ошибки в ответах,"А всегда же верно что 
А - квадратная матрица, p(x) - многочлен, x1...xk корни хар многочлена А
то корни хар многочлена p(A) - p(x1)...p(xk)?
или только если корни действительные","всегда
если x - собственное значение для A, то p(x) - собственное значение для p(A), это верно для любого комплексного x (в том числе для действительного)",Спасибо
,,,"Здесь нюанс. А может не иметь вовсе действительных собственных чисел, а р(А) может их получить."
,,"Здесь нюанс. А может не иметь вовсе действительных собственных чисел, а р(А) может их получить.","А если например есть задача: дана матрица А 3го порядка и надо найди собственные числа р(А) не считая его
Матрица и многочлен произвольные, но даны
Как такое можно решить?"
,"Здесь нюанс. А может не иметь вовсе действительных собственных чисел, а р(А) может их получить.","А если например есть задача: дана матрица А 3го порядка и надо найди собственные числа р(А) не считая его
Матрица и многочлен произвольные, но даны
Как такое можно решить?","В некоторых случаях все совсем просто, если p = 23, скажем.
В общем случае надо знать комплексные корни А, с ними ваш трюк сработает."
,,,"А если например корни 2, 1 + i, 1 -i?
Или любая пара комплексно сопряженных
И p не const"
,,,То всё будет окей? Я просто не очень понял в каком случае будут проблемы и нельзя просто подставить все корни в Р и получить ответ?
,,То всё будет окей? Я просто не очень понял в каком случае будут проблемы и нельзя просто подставить все корни в Р и получить ответ?,"Да, ок. Просто если ограничиться действительными, то можно что-то потерять. В вашем примере будет только р(2). А может случиться, что р(1+i) тоже будет действительным и его тоже нужно брать в расчёт."
,,,"Все это очевидно, если посмотреть на ЖНФ."
,,"Все это очевидно, если посмотреть на ЖНФ.","Я тоже думал в эту сторону, но с комплексными был неуверен"
,,,Спасибо большое
,,,А хар многочлен р(А) будет иметь корни - р() от тех комплексно сопряженных да (комплексные)?
,,А хар многочлен р(А) будет иметь корни - р() от тех комплексно сопряженных да (комплексные)?,"Не квадраты, р() от корней."
,А хар многочлен р(А) будет иметь корни - р() от тех комплексно сопряженных да (комплексные)?,"Не квадраты, р() от корней.","Спасибо, я просто затупил, до этого на примере разбирал просто"
,,,"Всем привет, есть ли идеи по этой задаче: 

Как, имея случайную величину с равномерным распределением на множестве {0, 1} смоделировать случайную величину с равномерным распределением на множестве {0, 1, 2}?"
,,"Всем привет, есть ли идеи по этой задаче: 

Как, имея случайную величину с равномерным распределением на множестве {0, 1} смоделировать случайную величину с равномерным распределением на множестве {0, 1, 2}?","вот задача с codewars на эту тему, там есть решения
https://www.codewars.com/kata/593e84f16e836ca9a9000054"
,,,А если просто умножить значение этой величины на 2? 🧐
,,,"Тогда она не будет принимать значение 1. Мне кажется тут нужен какой-то трюк типо такого: если бы было мн-во {0,1,2,3}, то разыграв случайную величину мы бы смогли выбрать одну из половин {0,1} или {2,3} а затем разыграв 2 раз уже выбрали бы число и все это было бы с вероятностью 1/4. Но вот как похожий трюк провернуть с 3 эл-тами…"
,,"Тогда она не будет принимать значение 1. Мне кажется тут нужен какой-то трюк типо такого: если бы было мн-во {0,1,2,3}, то разыграв случайную величину мы бы смогли выбрать одну из половин {0,1} или {2,3} а затем разыграв 2 раз уже выбрали бы число и все это было бы с вероятностью 1/4. Но вот как похожий трюк провернуть с 3 эл-тами…","А, понял. Я подумал про отрезок почему-то)"
,,,"Кстати, а если у нас есть равномерное на {0,1,2,3} то может просто переразыгрывать его если мы попали в 3, тогда интуитивно кажется будет 1/3 на {0,1,2}, но нужно все строго еще посчитать"
,,"Кстати, а если у нас есть равномерное на {0,1,2,3} то может просто переразыгрывать его если мы попали в 3, тогда интуитивно кажется будет 1/3 на {0,1,2}, но нужно все строго еще посчитать","Да, это работает."
,,,Те это что то типо Acceptance Rejection Method
,,Те это что то типо Acceptance Rejection Method,"x, 2x, x+1 насэмплим"
,,,и склеим ?
,,и склеим ?,А что значит склеим?
,,,"А, типо U(0,1) and U(0,2). Тогда вы правы, можно просто умножить)"
,,"А, типо U(0,1) and U(0,2). Тогда вы правы, можно просто умножить)",ну накидаем в ящик реализаций этих велечин
,"А, типо U(0,1) and U(0,2). Тогда вы правы, можно просто умножить)",ну накидаем в ящик реализаций этих велечин,"И будет у нас в ящике 3 числа, и какое  брать? Нам же нужно в итоге 1 число
Да вроде вот норм алгос"
,,,0б.
,,,"Я такую задачку решал. 
Если не секрет, откуда она?"
,,"Я такую задачку решал. 
Если не секрет, откуда она?",Вот тут самый конец https://gist.github.com/zybinmikhail/85fc5a6d85f016bb99f2662e4391da0f
,"Я такую задачку решал. 
Если не секрет, откуда она?",Вот тут самый конец https://gist.github.com/zybinmikhail/85fc5a6d85f016bb99f2662e4391da0f,"Спасибо! Интересное повествование. 
Да.. Собесы частенько не соответствуют нагрузке в компании, но скорее просто нужны, чтобы отсеивать на начальном этапе узких специалистов"
,,,Ответ: нельзя
,,Ответ: нельзя,"Зависит от того что ты понимаешь под словом выразить. Если ты возьмёшь последовательность независимых x_1,...,x_n с равномерным распределением на {0,1}, то величина f(x_1,...,x_n) не будет равномерно распределенной на {0,1,2} ни для какой функции f. Но если ты разрешишь рероллы, то можно. Это соответствует не тотальным функциями."
,,,Интересно
,,,"Ребят, привет всем!
А есть какие-то сборники собесов прошлых лет с разборами? По которым было бы удобно готовиться"
,,"Ребят, привет всем!
А есть какие-то сборники собесов прошлых лет с разборами? По которым было бы удобно готовиться","+
Было бы полезно, если есть"
,,,"Привет! Если ты из Яндекса, зачем тебе поступать в ШАД?"
,,"Привет! Если ты из Яндекса, зачем тебе поступать в ШАД?",Это вообще почти не связанные вещи
,"Привет! Если ты из Яндекса, зачем тебе поступать в ШАД?",Это вообще почти не связанные вещи,"если ты в яндексе, есть доступ к курсам шада"
"Привет! Если ты из Яндекса, зачем тебе поступать в ШАД?",Это вообще почти не связанные вещи,"если ты в яндексе, есть доступ к курсам шада","как писали в другом чатике:

«А может настоящее богатство это друзья, которых мы встречаем по пути?»"
Это вообще почти не связанные вещи,"если ты в яндексе, есть доступ к курсам шада","как писали в другом чатике:

«А может настоящее богатство это друзья, которых мы встречаем по пути?»","ну так я согласен полностью, просто написал, что можно курсы вроде брать"
,,,Ну совсем не так ведь. Надо сколько-то проработать и тогда можно взять 1 курс за полгода 👍
,,Ну совсем не так ведь. Надо сколько-то проработать и тогда можно взять 1 курс за полгода 👍,"там не все так просто, чтобы просто заменить :)

но да, при большом желании можно по сути пройти полную программу просто как вольнослушатель
ШАД в первую очередь сделан для студентов ШАД, как ни странно
и у них полноценный опыт)"
,Ну совсем не так ведь. Надо сколько-то проработать и тогда можно взять 1 курс за полгода 👍,"там не все так просто, чтобы просто заменить :)

но да, при большом желании можно по сути пройти полную программу просто как вольнослушатель
ШАД в первую очередь сделан для студентов ШАД, как ни странно
и у них полноценный опыт)","На доде рассказывали, что у сотрудников есть ограничения по доступу к курсу"
Ну совсем не так ведь. Надо сколько-то проработать и тогда можно взять 1 курс за полгода 👍,"там не все так просто, чтобы просто заменить :)

но да, при большом желании можно по сути пройти полную программу просто как вольнослушатель
ШАД в первую очередь сделан для студентов ШАД, как ни странно
и у них полноценный опыт)","На доде рассказывали, что у сотрудников есть ограничения по доступу к курсу",?
,,,"Привет, подскажет кто-нибудь решение?"
,,"Привет, подскажет кто-нибудь решение?",Есть такая идеч
,,,"матожидание то понятно как считать, а вот E[X*Y] не очень понятно как выразить"
,,"матожидание то понятно как считать, а вот E[X*Y] не очень понятно как выразить",.
,,,Вот тут обсуждали
,,,откуда эта задачка?
,,откуда эта задачка?,Семинар 6 или 7 теорвер
,,,Шад вроде
,,Шад вроде,Только кси и кси джи не норсв а просто одинаково распределены и поэтому равны ковариации
,,,Привет! а есть ли записи семинаров или хотя бы ответы на семинарские задачи?
,,Привет! а есть ли записи семинаров или хотя бы ответы на семинарские задачи?,"Записи можно купить, ответов, собранных в одном месте, вроде нет, но можно тут спрашивать про конкретные задачи и гуглить"
